"Table 1: Long-term international migration into and out of the United Kingdom by nationality,",,,,,,,,,
using new approach to producing migration estimates.,,,,,,,,,
This worksheet contains one table. Freeze panes is turned on. ,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,
Flow,Period,All Nationalities,British,EU,Non-EU,,,,
Net,YE Sep 17,"205,000","-85,000","192,000","98,000",,,,
Net,YE Dec 17,"208,000","-81,000","176,000","114,000",,,,
Net,YE Mar 18,"193,000","-89,000","160,000","122,000",,,,
Net,YE Jun 18,"216,000","-84,000","158,000","143,000",,,,
Net,YE Sep 18,"226,000","-67,000","138,000","155,000",,,,
Net,YE Dec 18,"276,000","-72,000","170,000","178,000",,,,
Net,YE Mar 19,"274,000","-72,000","155,000","190,000",,,,
Net,YE Jun 19,"224,000","-82,000","126,000","179,000",,,,
Net,YE Sep 19,"202,000","-83,000","114,000","171,000",,,,
Net,YE Dec 19,"184,000","-82,000","80,000","186,000",,,,
Net,YE Mar 20,"170,000","-77,000","81,000","166,000",,,,
Net,YE Jun 20,"111,000","-74,000","70,000","115,000",,,,
Net,YE Sep 20,"35,000","-70,000","45,000","60,000",,,,
Net,YE Dec 20,"93,000","-78,000","70,000","101,000",,,,
Net,YE Mar 21,"132,000","-79,000","61,000","150,000",,,,
Net,YE Jun 21,"221,000","-73,000","68,000","226,000",,,,
Net,YE Sep 21,"443,000","14,000","16,000","413,000",,,,
Net,YE Dec 21,"466,000","32,000","-62,000","496,000",,,,
Net,YE Mar 22,"526,000","29,000","-106,000","603,000",,,,
Net,YE Jun 22,"607,000","20,000","-133,000","720,000",,,,
Net,YE Sep 22,"709,000","6,000","-135,000","839,000",,,,
Net,YE Dec 22 P,"745,000","-4,000","-123,000","873,000",,,,
Net,YE Mar 23 P,"705,000","-9,000","-102,000","817,000",,,,
Net,YE Jun 23 P,"672,000","-10,000","-86,000","768,000",,,,
